params,score
"[2.81076925e+00 1.83408476e+00 7.31219380e-02 2.87721726e+00
 5.56934683e+00 5.00085937e+02]",98597.08291681412
"[2.74525657e+00 1.67414156e+00 8.83442102e-02 2.95859818e+00
 5.36507091e+00 5.00172517e+02]",82.14557440205975
"[2.76588753e+00 1.79667459e+00 1.03032225e-01 3.07628649e+00
 5.44440647e+00 5.00143480e+02]",485.16921831711045
"[2.75472885e+00 1.72072753e+00 8.14558798e-02 2.97441166e+00
 5.38315827e+00 4.99906970e+02]",97345.1209722571
"[2.70294133e+00 1.78594642e+00 5.16479123e-02 2.73598195e+00
 5.20321740e+00 4.99974437e+02]",6725.1071807791905
"[2.62528235e+00 1.81327608e+00 5.24945665e-02 2.77253900e+00
 5.19260227e+00 5.00171923e+02]",96722.1348507431
"[2.74137628e+00 1.72092180e+00 9.70861251e-02 2.91992218e+00
 5.24516980e+00 5.00098050e+02]",106930.10474765171
"[2.68803219e+00 1.64234760e+00 5.85349420e-02 2.90681391e+00
 5.25927415e+00 4.99990487e+02]",10001.147981696357
"[2.87512986e+00 1.54471912e+00 1.04680853e-01 3.06011710e+00
 5.44593162e+00 5.00127111e+02]",66565.12276389831
"[2.75206603e+00 1.83631424e+00 7.13834502e-02 2.82805903e+00
 5.29821549e+00 5.00143601e+02]",101.14084500079447
"[2.84528930e+00 1.83148277e+00 1.37531308e-01 3.16641924e+00
 5.12343787e+00 5.00026937e+02]",49730.146231938874
"[2.84357937e+00 1.68282355e+00 2.63413996e-01 3.04981258e+00
 5.54392773e+00 5.00083892e+02]",6562.1654083837075
"[2.67080790e+00 1.66695123e+00 9.95831769e-02 2.97116623e+00
 5.41851264e+00 5.00241840e+02]",470597.24860812776
"[2.69332344e+00 1.68160814e+00 6.03040070e-02 2.92930272e+00
 5.31021237e+00 5.00143935e+02]",17.08241539569041
"[2.73846209e+00 1.74300844e+00 6.00179677e-02 2.93115579e+00
 5.40913732e+00 5.00124991e+02]",118337.09184000712
"[2.81949398e+00 1.63537667e+00 5.34120290e-02 3.05891789e+00
 5.38373446e+00 5.00085948e+02]",100490.09588792379
"[2.67380324e+00 1.56041140e+00 5.66413667e-02 3.03169839e+00
 5.31143983e+00 5.00070273e+02]",3250.1347703007364
"[2.75383385e+00 1.76876541e+00 7.55733604e-02 2.83894390e+00
 5.30122400e+00 5.00035408e+02]",26.124901041192015
"[2.67427444e+00 1.70179894e+00 5.04593340e-02 3.00042485e+00
 5.34245909e+00 5.00186456e+02]",90001.20602193629
"[2.70120871e+00 1.64882337e+00 5.04316319e-02 2.94283095e+00
 5.59735255e+00 5.00129411e+02]",12770.105417172577
"[2.84413085e+00 1.71015978e+00 5.83372599e-02 2.87163848e+00
 5.37870772e+00 5.00052206e+02]",91810.11125385738
"[2.64241381e+00 1.59950073e+00 2.11001687e-01 3.05465002e+00
 5.46537351e+00 5.00142301e+02]",25601.17789863069
"[2.73775996e+00 1.58512372e+00 5.00635093e-02 2.78107521e+00
 5.39678391e+00 5.00051234e+02]",8650.132940851634
"[2.80320764e+00 1.78768876e+00 5.01196147e-02 2.87019333e+00
 5.28034141e+00 5.00023944e+02]",33857.124224667095
"[2.79884233e+00 1.80082873e+00 2.44808445e-01 2.66091434e+00
 5.24733832e+00 5.00079455e+02]",77285.14408310274
"[2.75909668e+00 1.71863381e+00 5.23354727e-02 2.91736561e+00
 5.26016420e+00 5.00210611e+02]",90001.08682196046
"[2.84340655e+00 1.74741313e+00 1.60377818e-01 2.84512190e+00
 5.25581777e+00 5.00069514e+02]",20737.16643480013
